Sim number,Frequency,count,MNE activity pattern,total,count/total*100
1,19,0,tonic,3808,0
1,19,8,tonic,3808,0.210084034
1,21,0,tonic,3808,0
1,22,0,tonic,3808,0
1,23,42,tonic,3808,1.102941176
1,24,0,tonic,3808,0
1,26,0,tonic,3808,0
1,27,0,tonic,3808,0
1,28,0,tonic,3808,0
1,30,0,tonic,3808,0
1,31,0,tonic,3808,0
1,32,0,tonic,3808,0
1,33,0,tonic,3808,0
1,35,0,tonic,3808,0
1,36,0,tonic,3808,0
1,37,0,tonic,3808,0
1,38,0,tonic,3808,0
1,40,0,tonic,3808,0
1,41,0,tonic,3808,0
1,42,0,tonic,3808,0
1,44,0,tonic,3808,0
1,45,39,tonic,3808,1.024159664
1,46,1716,tonic,3808,45.06302521
1,47,0,tonic,3808,0
1,49,3,tonic,3808,0.078781513
1,50,1,tonic,3808,0.026260504
1,51,5,tonic,3808,0.131302521
1,52,41,tonic,3808,1.076680672
1,54,97,tonic,3808,2.547268908
1,55,93,tonic,3808,2.442226891
1,56,34,tonic,3808,0.892857143
1,58,3,tonic,3808,0.078781513
1,59,1,tonic,3808,0.026260504
1,60,21,tonic,3808,0.551470588
1,61,36,tonic,3808,0.945378151
1,63,60,tonic,3808,1.575630252
1,64,28,tonic,3808,0.735294118
1,65,37,tonic,3808,0.971638655
1,66,68,tonic,3808,1.785714286
1,68,59,tonic,3808,1.549369748
1,69,94,tonic,3808,2.468487395
1,70,54,tonic,3808,1.418067227
1,71,90,tonic,3808,2.363445378
1,73,153,tonic,3808,4.017857143
1,74,92,tonic,3808,2.415966387
1,75,159,tonic,3808,4.175420168
1,77,95,tonic,3808,2.494747899
1,78,215,tonic,3808,5.646008403
1,79,174,tonic,3808,4.569327731
1,80,209,tonic,3808,5.488445378
1,82,81,tonic,3808,2.12710084
1,83,0,tonic,3808,0
2,20,0,tonic,3755,0
2,20,1,tonic,3755,0.026631158
2,21,0,tonic,3755,0
2,22,0,tonic,3755,0
2,24,43,tonic,3755,1.145139814
2,25,0,tonic,3755,0
2,26,0,tonic,3755,0
2,28,0,tonic,3755,0
2,29,0,tonic,3755,0
2,30,0,tonic,3755,0
2,31,0,tonic,3755,0
2,33,0,tonic,3755,0
2,34,0,tonic,3755,0
2,35,0,tonic,3755,0
2,37,0,tonic,3755,0
2,38,0,tonic,3755,0
2,39,0,tonic,3755,0
2,41,0,tonic,3755,0
2,42,0,tonic,3755,0
2,43,0,tonic,3755,0
2,44,0,tonic,3755,0
2,46,1595,tonic,3755,42.47669774
2,47,43,tonic,3755,1.145139814
2,48,0,tonic,3755,0
2,50,21,tonic,3755,0.559254328
2,51,23,tonic,3755,0.612516644
2,52,41,tonic,3755,1.091877497
2,53,85,tonic,3755,2.263648469
2,55,129,tonic,3755,3.435419441
2,56,84,tonic,3755,2.23701731
2,57,1,tonic,3755,0.026631158
2,59,1,tonic,3755,0.026631158
2,60,1,tonic,3755,0.026631158
2,61,42,tonic,3755,1.118508655
2,63,36,tonic,3755,0.958721704
2,64,10,tonic,3755,0.266311585
2,65,42,tonic,3755,1.118508655
2,66,60,tonic,3755,1.597869507
2,68,68,tonic,3755,1.810918775
2,69,65,tonic,3755,1.7310253
2,70,66,tonic,3755,1.757656458
2,72,86,tonic,3755,2.290279627
2,73,169,tonic,3755,4.500665779
2,74,129,tonic,3755,3.435419441
2,76,131,tonic,3755,3.488681758
2,77,129,tonic,3755,3.435419441
2,78,215,tonic,3755,5.725699068
2,79,256,tonic,3755,6.817576565
2,81,134,tonic,3755,3.568575233
2,82,32,tonic,3755,0.852197071
2,83,17,tonic,3755,0.452729694
2,85,0,tonic,3755,0
5,2,0,bursting,3724,0
5,2,12,bursting,3724,0.322234157
5,4,0,bursting,3724,0
5,6,0,bursting,3724,0
5,8,0,bursting,3724,0
5,9,0,bursting,3724,0
5,11,0,bursting,3724,0
5,13,0,bursting,3724,0
5,14,0,bursting,3724,0
5,16,0,bursting,3724,0
5,18,0,bursting,3724,0
5,20,2,bursting,3724,0.053705693
5,21,0,bursting,3724,0
5,23,54,bursting,3724,1.450053706
5,25,0,bursting,3724,0
5,27,0,bursting,3724,0
5,28,1,bursting,3724,0.026852846
5,30,2,bursting,3724,0.053705693
5,32,0,bursting,3724,0
5,34,0,bursting,3724,0
5,35,2,bursting,3724,0.053705693
5,37,2,bursting,3724,0.053705693
5,39,4,bursting,3724,0.107411386
5,41,0,bursting,3724,0
5,42,0,bursting,3724,0
5,44,0,bursting,3724,0
5,46,1572,bursting,3724,42.21267454
5,48,0,bursting,3724,0
5,49,0,bursting,3724,0
5,51,0,bursting,3724,0
5,53,10,bursting,3724,0.268528464
