Simulation number,V2b synaptic conductance decrease,time,calcium concentration
2,0,0,100
2,0,10,100.17
2,0,20,100.21
2,0,30,100.25
2,0,40,100.28
2,0,50,100.31
2,0,60,100.33
2,0,70,100.34
2,0,80,100.29
2,0,90,100.38
2,0,100,100.39
10,0,0,100
10,0,10,100.1
10,0,20,100
10,0,30,99.9
10,0,40,99.9
10,0,50,99.8
10,0,60,99.7
10,0,70,99.7
10,0,80,99.7
10,0,90,99.6
10,0,100,99.6
4,0,0,100
4,0,10,100.1
4,0,20,100.2
4,0,30,100.3
4,0,40,100.3
4,0,50,100.4
4,0,60,100.4
4,0,70,100.5
4,0,80,100.5
4,0,90,100.5
4,0,100,100.6
5,0,0,100
5,0,10,100.2
5,0,20,100.2
5,0,30,100.3
5,0,40,100.4
5,0,50,100.5
5,0,60,100.6
5,0,70,100.6
5,0,80,100.6
5,0,90,100.7
5,0,100,100.7
6,0,0,100
6,0,10,100.2
6,0,20,100.3
6,0,30,100.3
6,0,40,100.4
6,0,50,100.4
6,0,60,100.4
6,0,70,100.5
6,0,80,100.5
6,0,90,100.6
6,0,100,100.6
1,20,0,100
1,20,10,100.2
1,20,20,100.3
1,20,30,100.4
1,20,40,100.4
1,20,50,100.6
1,20,60,100.6
1,20,70,100.7
1,20,80,100.7
1,20,90,100.7
1,20,100,100.8
2,20,0,100
2,20,10,100.1
2,20,20,100.1
2,20,30,100.2
2,20,40,100.1
2,20,50,100.1
2,20,60,100.2
2,20,70,100.2
2,20,80,100.2
2,20,90,100.2
2,20,100,100.2
3,20,0,100
3,20,10,100.1
3,20,20,100.2
3,20,30,100.2
3,20,40,100.3
3,20,50,100.2
3,20,60,100.3
3,20,70,100.3
3,20,80,100.3
3,20,90,100.4
3,20,100,100.4
4,20,0,100
4,20,10,100.2
4,20,20,100.3
4,20,30,100.4
4,20,40,100.4
4,20,50,100.6
4,20,60,100.6
4,20,70,100.7
4,20,80,100.7
4,20,90,100.8
4,20,100,100.8
5,20,0,100
5,20,10,100.1
5,20,20,100.3
5,20,30,100.4
5,20,40,100.4
5,20,50,100.5
5,20,60,100.5
5,20,70,100.6
5,20,80,100.7
5,20,90,100.7
5,20,100,100.8
1,45,0,100
1,45,10,100.2
1,45,20,100.3
1,45,30,100.4
1,45,40,100.5
1,45,50,100.5
1,45,60,100.6
1,45,70,100.7
1,45,80,100.7
1,45,90,100.7
1,45,100,100.8
2,45,0,100
2,45,10,100.1
2,45,20,100.3
2,45,30,100.3
2,45,40,100.4
2,45,50,100.5
2,45,60,100.6
2,45,70,100.7
2,45,80,100.7
2,45,90,100.8
2,45,100,100.7
3,45,0,100
3,45,10,100.2
3,45,20,100.3
3,45,30,100.3
3,45,40,100.4
3,45,50,100.4
3,45,60,100.5
3,45,70,100.6
3,45,80,100.6
3,45,90,100.7
3,45,100,100.8
4,45,0,100
4,45,10,100.2
4,45,20,100.3
4,45,30,100.4
4,45,40,100.5
4,45,50,100.7
4,45,60,100.8
4,45,70,100.8
4,45,80,100.9
4,45,90,100.9
4,45,100,101
5,45,0,100
5,45,10,100.2
5,45,20,100.3
5,45,30,100.4
5,45,40,100.5
5,45,50,100.5
5,45,60,100.6
5,45,70,100.7
5,45,80,100.8
