Synaptic conductance decrease (%),interburst interval (s),Intraburst frequency (Hz),Rate calcium increase (nM/s),MNE death,Burst frequency,Burst duration
0,0.669,48.34810637,0.007,0,0.98215578,0.372281579
0,0.681,48.64142948,-0.009,0,0.90790538,0.411405747
0,0.65,48.28150188,0.002,0,0.836588886,0.464610625
0,0.648,47.94845674,0.001,0,0.845701721,0.4573
0,0.649,48.20287121,-0.002,0,0.819586244,0.47715
0,0.599,47.69310524,-0.001,0,0.807277921,0.482268182
0,0.621,48.59193816,0.001,0,0.856227534,0.4527
0,0.669,48.71856054,0.004,0,0.825259544,0.470816456
0,0.62,48.68087643,-0.003,0,1.055416615,0.328872549
0,0.593,48.34520512,0.002,0,1.177224425,0.28221886
20,0.61,49.40290625,0.008,0,1.055419346,0.345299505
20,0.68,48.38514576,0.002,0,0.920529356,0.41335
20,0.73,47.68164128,0.004,0,0.834009464,0.479
20,0.58,49.68172644,0.008,0,1.114176242,0.32205
20,0.69,48.79182156,0.008,0,0.898939561,0.4304
20,0.73,47.49819314,,0,0.83394807,0.48085
20,0.74,48.27410322,,0,0.834154186,0.4744
20,0.64,48.7582272,,0,0.996742604,0.371494271
20,0.63,45.91093117,,0,1.035747263,0.34895
20,0.69,48.58861638,,0,0.896864685,0.43225
45,0.67,48.00805397,0.008,0,0.915371348,0.43415
45,0.62,47.39249435,0.008,0,1.012122229,0.38885
45,0.65,48.62249443,0.008,0,0.946614054,0.376593367
45,0.7,48.50785616,0.009,0,0.856947131,0.41245
45,0.63,48.40147752,0.009,0,0.987576595,0.474190361
45,0.64,48.41037827,,0,0.968630789,0.39255
45,0.66,48.39068622,,0,0.916046405,0.403106098
45,0.74,48,,0,0.813757655,0.434481707
45,0.6,49.35563477,,0,1.042307897,0.5
45,0.67,48.2149007,,0,0.909594099,0.3647
70,0.54,48.97088414,0.006,0,1.169155823,0.325871681
70,0.54,49.54823667,0.009,0,1.132879564,0.343105046
70,0.6,48.76170923,0.009,0,1.017291385,0.389665816
70,0.65,49.2202729,0.009,0,0.927510901,0.440205618
70,0.57,48.78163368,0.014,0,1.073320705,0.367878652
70,0.67,48.20047856,0.012,0,0.874446912,0.480508333
70,0.58,48.67495944,,0,1.060370605,0.369783333
70,0.66,48.70489263,,0,0.906584689,0.451708929
70,0.57,48.62399185,,0,1.088938542,0.352552381
70,0.61,48.50417292,,0,1.006676939,0.392367857
90,0.55,49.43602183,0.017,0,1.032122224,0.420492929
90,0.55,50.00592122,0.018,0,1.27334378,0.238672222
90,0.54,48.85794552,0.015,0,1.057484552,0.409345455
90,0.48,49.1116568,0.016,0,1.21229244,0.346170202
90,0.56,49.60264461,0.017,0,1.236282416,0.257181313
90,0.52,48.6438626,,0,1.12223508,0.380401515
90,0.5,48.66598989,,0,1.161403181,0.370271212
90,0.59,48.07692308,,0,0.94059278,0.4784
90,0.63,48.29743514,,0,0.886515684,0.506904118
90,0.44,49.33819655,,0,1.394138264,0.2837
100,0,60.16608501,0.19227959,100,1,0.603
100,0,62.48088457,0.225908718,100,0.469387755,1.42
100,0.44,61.95030075,0.209594393,100,0.448979592,1.34
100,0,54.64892615,0.103435436,100,0.948979592,0.58
100,0.41,53.05894808,0.075923226,100,0.714285714,0.78
100,0.38,54.45933051,0.118705634,100,0.581632653,1
100,0.48,56.94401921,0.12648728,100,0.397959184,1.47
100,0,57.12618561,0.102102634,100,0.836734694,0.73
100,0.3,48.90078091,0.104649946,100,1,0.59
100,0.3,59.28780147,0.215312756,100,0.459183673,1.33
100,0.22,59.94456313,0.221000662,100,0.734693878,0.77
100,0.44,61.52206398,0.225537795,100,0.489795918,1.25
100,0.46,64.16978922,0.245957282,100,0.979591837,0.57
100,0.45,60.72330222,0.222634839,100,0.010204082,67.43
100,0.5,60.72789192,0.218673874,100,0.918367347,0.62
100,0,63.789854,0.241615538,100,0.744897959,0.76
100,0,59.14086241,0.21569947,100,0.87755102,0.69
100,0,59.24727772,0.211938645,100,0.030612245,21.32
100,0,60.47292613,0.225134631,100,0.653061224,0.88
100,0,,,100,0.01,64.59
