Simulation,condition,neuron type,step cycle duration (non normalised),burst duration (s),"averaged burst duration RGF (% of step cycle, which is normalised to 100)",burst frequency (Hz)
1,control,RGF,0.775457143,0.372300394,48.01044095,1.295755737
2,control,RGF,0.673573103,0.32943931,48.90921396,1.490041471
3,control,RGF,0.80935124,0.391209917,48.33623502,1.244780467
4,control,RGF,0.682048951,0.329287413,48.27914655,1.471506424
5,control,RGF,0.781436,0.3741056,47.87411893,1.285589662
6,control,RGF,0.818723109,0.394196218,48.14768437,1.226622617
7,control,RGF,0.861753097,0.412159292,47.82800239,1.16576039
8,control,RGF,0.808949174,0.386937603,47.8321279,1.22053572
9,control,RGF,0.756702713,0.364629845,48.18667075,1.326958489
10,control,RGF,0.925440476,0.443913333,47.96778883,1.08597044
1,control,RGE,,0.2827768,36.46581924,
2,control,RGE,,0.219735417,32.62235614,
3,control,RGE,,0.299266667,36.97611766,
4,control,RGE,,0.235906993,34.5879856,
5,control,RGE,,0.285822177,36.57653057,
6,control,RGE,,0.30575,37.34473799,
7,control,RGE,,0.327830088,38.04222921,
8,control,RGE,,0.30365,37.53635085,
9,control,RGE,,0.270814063,35.78869981,
10,control,RGE,,0.3603,38.93281192,
1,gap_junc,RGF,2.832454412,1.407310294,49.68518781,0.357790714
2,gap_junc,RGF,4.384154762,1.564472727,35.68470577,0.235079027
3,gap_junc,RGF,4.032843478,1.5724,38.98985935,0.256765092
4,gap_junc,RGF,3.900804167,1.569420833,40.23326387,0.262623663
5,gap_junc,RGF,5.058736111,1.556297222,30.76454648,0.205123444
6,gap_junc,RGF,3.454623214,1.618428571,46.8481936,0.296865763
7,gap_junc,RGF,2.686131944,1.489463889,55.4501387,0.378656078
8,gap_junc,RGF,2.755017143,1.457001429,52.88538521,0.367460739
9,gap_junc,RGF,4.7157075,1.63497,34.67072544,0.219139315
10,gap_junc,RGF,3.578064815,1.588309259,44.39017574,0.286681103
1,gap_junc,RGE,,0.279409848,3.864584133,
2,gap_junc,RGE,,0.205172932,4.679874308,
3,gap_junc,RGE,,0.163983019,4.066188528,
4,gap_junc,RGE,,0.13035947,3.341861425,
5,gap_junc,RGE,,0.19506145,3.855932512,
6,gap_junc,RGE,,0.168558163,4.879205424,
7,gap_junc,RGE,,0.093484422,3.480261731,
8,gap_junc,RGE,,0.150630515,5.467498273,
9,gap_junc,RGE,,0.179931579,3.815579718,
10,gap_junc,RGE,,0.153139024,4.27993992,
