Bin,Hz,Power (mean sq amp),condition
0,0,2735.37,gap_junc_block
1,0.15,1025.69,gap_junc_block
2,0.31,13.3548,gap_junc_block
3,0.46,7.11125,gap_junc_block
4,0.61,0.70161,gap_junc_block
5,0.76,0.420202,gap_junc_block
6,0.92,0.113641,gap_junc_block
7,1.07,0.00342022,gap_junc_block
8,1.22,0.303545,gap_junc_block
9,1.37,0.401241,gap_junc_block
10,1.53,0.276074,gap_junc_block
11,1.68,0.172879,gap_junc_block
12,1.83,0.0882143,gap_junc_block
13,1.98,0.234963,gap_junc_block
14,2.14,0.116461,gap_junc_block
15,2.29,0.10016,gap_junc_block
16,2.44,0.179367,gap_junc_block
17,2.59,0.00906309,gap_junc_block
18,2.75,0.00860444,gap_junc_block
19,2.9,0.0514869,gap_junc_block
20,3.05,0.00825443,gap_junc_block
21,3.2,0.0555016,gap_junc_block
22,3.36,0.132304,gap_junc_block
23,3.51,0.0637006,gap_junc_block
24,3.66,0.0265591,gap_junc_block
25,3.81,0.0273476,gap_junc_block
26,3.97,0.00325241,gap_junc_block
27,4.12,0.000670574,gap_junc_block
28,4.27,0.0237911,gap_junc_block
29,4.43,0.0229047,gap_junc_block
30,4.58,0.000698383,gap_junc_block
31,4.73,0.0112851,gap_junc_block
32,4.88,0.0138877,gap_junc_block
33,5.04,0.0251792,gap_junc_block
34,5.19,0.0527851,gap_junc_block
35,5.34,0.068445,gap_junc_block
36,5.49,0.146598,gap_junc_block
37,5.65,0.047514,gap_junc_block
38,5.8,0.264104,gap_junc_block
39,5.95,0.125766,gap_junc_block
40,6.1,0.254674,gap_junc_block
41,6.26,0.116088,gap_junc_block
42,6.41,0.241221,gap_junc_block
43,6.56,0.494638,gap_junc_block
44,6.71,0.221007,gap_junc_block
45,6.87,0.417477,gap_junc_block
46,7.02,0.0887798,gap_junc_block
47,7.17,0.00531073,gap_junc_block
48,7.32,0.0208647,gap_junc_block
49,7.48,0.0116211,gap_junc_block
50,7.63,0.0382311,gap_junc_block
51,7.78,0.0117825,gap_junc_block
52,7.93,0.0229729,gap_junc_block
53,8.09,0.00115973,gap_junc_block
54,8.24,0.00664322,gap_junc_block
55,8.39,0.00586656,gap_junc_block
56,8.54,0.0257283,gap_junc_block
57,8.7,0.0153248,gap_junc_block
58,8.85,0.032473,gap_junc_block
59,9,0.007327,gap_junc_block
60,9.16,0.0210997,gap_junc_block
61,9.31,0.0676316,gap_junc_block
62,9.46,0.0227046,gap_junc_block
63,9.61,0.0254119,gap_junc_block
64,9.77,0.113528,gap_junc_block
65,9.92,0.0535481,gap_junc_block
66,10.07,0.0284664,gap_junc_block
67,10.22,0.00699619,gap_junc_block
68,10.38,0.0106238,gap_junc_block
69,10.53,0.0143164,gap_junc_block
70,10.68,0.00936604,gap_junc_block
71,10.83,0.0285317,gap_junc_block
72,10.99,0.0149984,gap_junc_block
73,11.14,0.00390098,gap_junc_block
74,11.29,0.00574653,gap_junc_block
75,11.44,0.0045359,gap_junc_block
76,11.6,0.00770104,gap_junc_block
77,11.75,0.0105834,gap_junc_block
78,11.9,0.00581459,gap_junc_block
79,12.05,0.0189462,gap_junc_block
80,12.21,0.00885255,gap_junc_block
81,12.36,0.00155936,gap_junc_block
82,12.51,0.00339762,gap_junc_block
83,12.66,0.0110967,gap_junc_block
84,12.82,0.00810496,gap_junc_block
85,12.97,0.00789554,gap_junc_block
86,13.12,0.0080657,gap_junc_block
87,13.28,0.0126119,gap_junc_block
88,13.43,0.0148933,gap_junc_block
89,13.58,0.00635938,gap_junc_block
90,13.73,0.00520109,gap_junc_block
91,13.89,0.000783142,gap_junc_block
92,14.04,0.0156004,gap_junc_block
93,14.19,0.0023194,gap_junc_block
94,14.34,0.00729948,gap_junc_block
95,14.5,0.00121412,gap_junc_block
96,14.65,0.00449543,gap_junc_block
97,14.8,0.00378167,gap_junc_block
98,14.95,0.0103011,gap_junc_block
99,15.11,0.00228033,gap_junc_block
100,15.26,0.00195521,gap_junc_block
101,15.41,0.0207267,gap_junc_block
102,15.56,0.016187,gap_junc_block
103,15.72,0.019814,gap_junc_block
104,15.87,0.0203254,gap_junc_block
105,16.02,0.00937933,gap_junc_block
106,16.17,0.0112277,gap_junc_block
107,16.33,0.0059107,gap_junc_block
108,16.48,0.00302519,gap_junc_block
109,16.63,0.0380254,gap_junc_block
110,16.78,0.0170681,gap_junc_block
111,16.94,0.00373619,gap_junc_block
112,17.09,0.0106154,gap_junc_block
113,17.24,0.0049663,gap_junc_block
114,17.4,0.000274737,gap_junc_block
115,17.55,0.00412813,gap_junc_block
116,17.7,0.00183473,gap_junc_block
117,17.85,0.00292609,gap_junc_block
118,18.01,0.0107692,gap_junc_block
119,18.16,0.0125287,gap_junc_block
120,18.31,0.000221521,gap_junc_block
121,18.46,0.000382152,gap_junc_block
122,18.62,0.00846575,gap_junc_block
123,18.77,0.00189896,gap_junc_block
124,18.92,0.0114055,gap_junc_block
125,19.07,0.00465447,gap_junc_block
126,19.23,0.000100758,gap_junc_block
127,19.38,0.000556511,gap_junc_block
128,19.53,0.00208591,gap_junc_block
129,19.68,0.00279605,gap_junc_block
130,19.84,0.00221304,gap_junc_block
131,19.99,0.00150411,gap_junc_block
132,20.14,0.0020482,gap_junc_block
133,20.29,0.00172759,gap_junc_block
134,20.45,0.000528773,gap_junc_block
135,20.6,0.00131163,gap_junc_block
136,20.75,0.00337523,gap_junc_block
137,20.9,0.000791243,gap_junc_block
138,21.06,0.0156985,gap_junc_block
139,21.21,0.0104407,gap_junc_block
140,21.36,0.0146556,gap_junc_block
141,21.51,0.0123118,gap_junc_block
142,21.67,0.000456146,gap_junc_block
143,21.82,0.000593258,gap_junc_block
144,21.97,0.000361233,gap_junc_block
145,22.13,0.000814434,gap_junc_block
146,22.28,0.00616765,gap_junc_block
147,22.43,0.00182718,gap_junc_block
148,22.58,0.000951269,gap_junc_block
149,22.74,0.000258445,gap_junc_block
150,22.89,0.00179321,gap_junc_block
151,23.04,0.00159914,gap_junc_block
152,23.19,0.00169369,gap_junc_block
153,23.35,0.00287344,gap_junc_block
154,23.5,0.00016406,gap_junc_block
155,23.65,0.00027087,gap_junc_block
156,23.8,0.00407806,gap_junc_block
157,23.96,0.00530558,gap_junc_block
158,24.11,0.00569105,gap_junc_block
159,24.26,0.00493458,gap_junc_block
160,24.41,0.00322789,gap_junc_block
161,24.57,0.00357615,gap_junc_block
162,24.72,0.00299013,gap_junc_block
163,24.87,0.000911949,gap_junc_block
164,25.02,0.00241708,gap_junc_block
165,25.18,0.00200264,gap_junc_block
166,25.33,0.00320849,gap_junc_block
167,25.48,0.00556842,gap_junc_block
168,25.63,0.00328617,gap_junc_block
169,25.79,0.00472752,gap_junc_block
170,25.94,0.00123703,gap_junc_block
171,26.09,0.000777532,gap_junc_block
172,26.25,0.00035109,gap_junc_block
