Condition,spikes number,mean burst duration (s),burst number,spike frequency/burst,burst frequency,Spike number/burst,Mean Interburst period (s),TE/T %,Transition E-F
Control,1574,0.3331,97,48.71451253,0.989795918,16.22680412,0.669,33.26675322,0.0085
Control,1192,0.153,149,52.2875817,1.520408163,8,0.503,23.35877863,0.0096
Control,1575,0.337,96,48.68323442,0.979591837,16.40625,0.681,33.10412574,0.01
Control,1428,0.24,119,50,1.214285714,12,0.58,29.3040293,0.0075
Control,1542,0.307,102,49.24315003,1.040816327,15.11764706,0.65,32.07941484,0.0091
Control,1397,0.219,127,50.2283105,1.295918367,11,0.551,28.44155844,0.0055
Control,1473,0.262,113,49.75342836,1.153061224,13.03539823,0.599,30.42973287,0.0076
Control,1390,0.196,139,51.02040816,1.418367347,10,0.508,27.84090909,0.0041
Control,1580,0.288,112,48.98313492,1.142857143,14.10714286,0.581,33.21799308,0.0055
Control,1636,0.305,108,49.6660595,1.102040816,15.14814815,0.593,33.92658509,0.0065
Control,1538,0.261,118,49.93830768,1.204081633,13.03389831,0.567,31.52173913,0.0086
Control,1729,0.365,96,49.34360731,0.979591837,18.01041667,0.648,36.03158934,0.0059
Control,1658,0.329,103,48.92731726,1.051020408,16.09708738,0.621,34.63157895,0.0086
Control,1674,0.352,97,49.02764761,0.989795918,17.25773196,0.649,35.16483516,0.0093
Control,1536,0.256,120,50,1.224489796,12.8,0.555,31.56596794,0.0071
Control,1582,0.284,113,49.29577465,1.153061224,14,0.581,32.83236994,0.0068
Control,1400,0.196,140,51.02040816,1.428571429,10,0.503,28.04005722,0.0063
Control,1257,0.153,157,52.32921194,1.602040816,8.006369427,0.47,24.55858748,0.0076
Control,1360,0.198,136,50.50505051,1.387755102,10,0.521,27.53824757,0.011
Control,1648,0.327,103,48.92966361,1.051020408,16,0.62,34.53009504,0.0067
Control,1763,0.384,92,49.90375906,0.93877551,19.16304348,0.669,36.46723647,0.0067
V2b,3809,68.5265,,59.3,,,,100,
V2b,3754,67.871,,59.9,,,,100,
V2b,3654,21.07,,61.5,,,,100,
V2b,3509,58.664,,64.2,,,,100,
V2b,3725,4.946,13,61.9,,286.5384615,0.41,92.9,
V2b,3848,1.1135,65,54.6,,59.2,0.381,74.96,
V2b,3755,1.335,54,53.9,,69.53703704,0.48,74,
V2b,3751,32.899,,60.7,,,,99.3,
V2b,3925,3.157,22,60.2,,178.4090909,0.304,91.6,
V2b,3719,32.751,,60.7,,,,99.3,
V2b,3526,29.661,,63.8,,,,99.3,
V2b,3827,0.93,80,53.1,,47.8375,0.3,75.9,
V2b,3802,68.402,,59.1,,,,100,
V2b,3836,69.637,,59.2,,,,100,
V2b,4312,1.18,70,54.5,,61.6,0.224,84.2,
V2b,3617,10.3,6,62.5,,602.8333333,0.44,96.6,
V2b,4346,2.06,39,56.9,,111.4358974,0.455,80.75,
V2b,4393,2.126,38,57.1,,115.6052632,0.45,82.8,
V2b,3722,65.494,,60.5,,,,100,
V2b,3098,0.921,68,48.9,,45.55882353,0.49,65.3,
V1-1,1166,0.15,146,53.24200913,1.489795918,7.98630137,0.52,22.3880597,
V1-1,1092,0.13,156,53.84615385,1.591836735,7,0.49,20.63492063,
V1-1,1026,0.11,171,54.54545455,1.744897959,6,0.46,19.29824561,
V1-1,1260,0.18,140,50,1.428571429,9,0.52,25.71428571,
V1-1,1042,0.11,173,54.75564898,1.765306122,6.023121387,0.45,19.64285714,
V1-1,1133,0.13,162,53.79867047,1.653061224,6.99382716,0.47,21.66666667,
V1-1,1038,0.11,173,54.54545455,1.765306122,6,0.45,19.64285714,
V1-1,1374,0.21,127,51.51856018,1.295918367,10.81889764,0.56,27.27272727,
V1-1,1041,0.11,174,54.38871473,1.775510204,5.982758621,0.45,19.64285714,
V1-1,1008,0.11,168,54.54545455,1.714285714,6,0.47,18.96551724,
