X	Y
69806.351563	41.493774
69830.453125	44.843048
69852.750000	45.871555
69874.554688	46.296295
69896.148438	46.296295
69917.750000	46.511627
69939.250000	46.403709
69960.804688	46.403709
69982.351563	46.403709
70003.898438	46.511627
70025.398438	46.403709
70046.953125	46.403709
70068.500000	46.511627
70090.000000	46.403709
70111.554688	46.403709
70133.101563	46.511627
70154.601563	1.537043
70805.203125	41.493774
70829.304688	44.843048
70851.601563	45.871555
70873.398438	46.296295
70895.000000	46.296295
70916.601563	46.511627
70938.101563	46.403709
70959.648438	46.403709
70981.203125	46.403709
71002.750000	46.511627
71024.250000	46.403709
71045.804688	46.403709
71067.351563	46.511627
71088.851563	46.403709
71110.398438	46.403709
71131.953125	46.511627
71153.453125	1.536334
71804.351563	41.493774
71828.453125	44.843048
71850.750000	45.871555
71872.554688	46.296295
71894.148438	46.296295
71915.750000	46.511627
71937.250000	46.403709
71958.804688	46.403709
71980.351563	46.403709
72001.898438	46.511627
72023.398438	46.403709
72044.953125	46.403709
72066.500000	46.511627
72088.000000	46.403709
72109.554688	46.403709
72131.101563	46.511627
