X	Y
69782.703125	25.806452
69821.453125	60.790272
69837.898438	23.781214
69879.953125	47.058823
69901.203125	46.948353
69922.500000	46.948353
69943.804688	46.948353
69965.101563	46.838406
69986.453125	46.948353
70007.750000	46.948353
70029.054688	46.838406
70050.398438	46.948353
70071.703125	46.838406
70093.054688	46.948353
70114.351563	46.948353
70135.648438	46.838406
70157.000000	46.948353
70178.304688	46.948353
70199.601563	46.838406
70220.953125	46.948353
70242.250000	46.838406
70263.601563	46.948353
70284.898438	46.948353
70306.203125	46.838406
70327.554688	46.948353
70348.851563	46.948353
70370.148438	46.838406
70391.500000	46.948353
70412.804688	83.333336
70424.804688	79.365074
70437.398438	80.645157
70449.804688	81.300812
70462.101563	80.971657
70474.453125	80.971657
70486.804688	80.645157
70499.203125	80.321289
70511.648438	80.321289
70524.101563	79.681274
70536.648438	80.000000
70549.148438	79.365074
70561.750000	79.051376
70574.398438	78.740158
70587.101563	78.431374
70599.851563	77.821007
70612.703125	78.125000
70625.500000	77.220078
70638.453125	77.220078
70651.398438	76.628349
70664.453125	76.335876
70677.554688	75.757576
70690.750000	75.471695
70704.000000	75.187965
70717.304688	74.626862
70730.703125	74.074074
70744.203125	73.529411
70757.804688	72.992699
70771.500000	72.727272
70785.250000	71.942444
70799.148438	70.921982
70813.250000	70.671371
70827.398438	69.686409
70841.750000	68.965515
70856.250000	67.796608
70871.000000	67.340065
70885.851563	66.666664
70900.851563	64.935066
70916.250000	63.897762
70931.898438	61.728394
70948.101563	19.588638
70999.148438	32.258064
71030.148438	47.169811
71051.351563	46.948353
71072.648438	46.838406
71094.000000	46.948353
71115.304688	46.838406
71136.648438	46.948353
71157.953125	46.948353
71179.250000	46.838406
71200.601563	46.948353
71221.898438	46.948353
71243.203125	46.838406
71264.554688	46.948353
71285.851563	46.838406
71307.203125	46.948353
71328.500000	46.948353
71349.804688	46.838406
71371.148438	46.948353
71392.453125	46.948353
71413.750000	46.838406
71435.101563	46.948353
71456.398438	46.838406
71477.750000	46.948353
71499.054688	46.948353
71520.351563	46.838406
71541.703125	60.606060
71558.203125	70.671371
71572.351563	78.740158
71585.054688	81.300812
71597.351563	81.300812
71609.648438	80.971657
71622.000000	80.645157
71634.398438	80.321289
71646.851563	80.321289
71659.304688	80.000000
71671.804688	80.000000
71684.304688	79.365074
71696.898438	79.051376
71709.554688	78.740158
71722.250000	78.740158
71734.953125	77.821007
71747.804688	78.125000
71760.601563	77.519379
71773.500000	77.220078
71786.453125	76.628349
71799.500000	76.335876
71812.601563	76.045624
71825.750000	75.471695
71839.000000	75.471695
71852.250000	74.626862
71865.648438	74.074074
71879.148438	73.800735
71892.703125	73.260071
71906.351563	72.727272
71920.101563	71.942444
71934.000000	71.428574
71948.000000	70.671371
71962.148438	69.930069
71976.453125	69.444443
71990.851563	68.493149
72005.453125	67.567566
72020.250000	66.445183
72035.304688	65.359474
72050.601563	63.897762
72066.250000	62.305290
72082.304688	21.551723
72128.703125	24.213076
72170.000000	47.281326
72191.148438	46.948353
72212.453125	46.838406
72233.804688	46.948353
72255.101563	46.948353
72276.398438	46.838406
72297.750000	46.948353
72319.054688	46.838406
72340.398438	46.948353
72361.703125	46.948353
72383.000000	46.838406
72404.351563	46.948353
72425.648438	46.948353
72446.953125	46.838406
72468.304688	46.948353
72489.601563	46.838406
72510.953125	46.948353
72532.250000	46.948353
72553.554688	46.838406
72574.898438	46.948353
72596.203125	46.948353
72617.500000	46.838406
72638.851563	46.948353
72660.148438	46.838406
72681.500000	46.948353
72702.804688	46.948353
