X	Y
74168.398438	120.481926
74176.703125	77.519379
74189.601563	79.051376
74202.250000	78.125000
74215.054688	77.821007
74227.898438	77.220078
74240.851563	76.923080
74253.851563	76.335876
74266.953125	75.757576
74280.148438	74.906364
74293.500000	74.626862
74306.898438	73.800735
74320.453125	73.529411
74334.054688	72.727272
74347.804688	72.202164
74361.648438	71.428574
74375.648438	71.174377
74389.703125	121.212120
74397.953125	75.757576
74411.148438	121.951225
74419.351563	73.800735
74432.898438	123.456787
74441.000000	71.174377
74455.054688	123.456787
74463.148438	125.786156
74471.101563	70.671371
74485.250000	121.951225
74493.453125	127.388535
74501.304688	128.205124
74509.101563	128.205124
74516.898438	127.388535
74524.750000	125.786156
74532.703125	125.000000
74540.703125	122.699379
74548.851563	121.212120
74557.101563	119.760475
74565.453125	119.047607
74573.851563	116.279068
74582.453125	114.942528
74591.148438	112.994347
74600.000000	109.890106
74609.101563	108.108109
74618.351563	105.263161
74627.851563	101.010094
74637.750000	95.238098
74648.250000	88.105721
74659.601563	64.935066
74675.000000	55.555557
74693.000000	2.079218
75173.953125	121.212120
75182.203125	53.191486
75201.000000	76.923080
75214.000000	78.125000
75226.804688	77.821007
75239.648438	77.220078
75252.601563	76.923080
75265.601563	76.335876
75278.703125	75.471695
75291.953125	74.906364
75305.304688	74.626862
75318.703125	73.800735
75332.250000	73.260071
75345.898438	72.727272
75359.648438	72.202164
75373.500000	71.428574
75387.500000	70.921982
75401.601563	118.343201
75410.054688	76.923080
75423.054688	121.951225
75431.250000	73.529411
75444.851563	123.456787
75452.953125	71.174377
75467.000000	123.456787
75475.101563	126.582275
75483.000000	70.175438
75497.250000	121.951225
75505.453125	127.388535
75513.304688	128.205124
75521.101563	128.205124
75528.898438	126.582275
75536.804688	125.786156
75544.750000	124.223602
75552.804688	122.699379
75560.953125	121.212120
75569.203125	119.047607
75577.601563	118.343201
75586.054688	116.279068
75594.648438	114.285713
75603.398438	112.994347
75612.250000	109.890106
75621.351563	107.526878
75630.648438	103.626938
75640.304688	100.000000
75650.304688	94.339622
75660.898438	85.106384
75672.648438	56.022408
75690.500000	55.248619
75708.601563	2.182691
76166.750000	120.481926
76175.054688	77.821007
76187.898438	78.740158
76200.601563	78.431374
76213.351563	77.821007
76226.203125	77.220078
76239.148438	76.923080
76252.148438	76.335876
76265.250000	75.471695
76278.500000	75.187965
76291.804688	74.626862
76305.203125	73.800735
76318.750000	73.260071
76332.398438	72.992699
76346.101563	71.942444
76360.000000	71.684586
76373.953125	70.921982
76388.054688	118.343201
76396.500000	77.220078
76409.453125	122.699379
76417.601563	73.260071
76431.250000	123.456787
76439.351563	71.428574
76453.351563	123.456787
76461.453125	125.786156
76469.398438	70.671371
76483.554688	121.951225
76491.750000	127.388535
76499.601563	128.205124
76507.398438	128.205124
76515.203125	127.388535
76523.054688	125.786156
76531.000000	124.223602
76539.054688	123.456787
76547.148438	121.212120
76555.398438	119.760475
76563.750000	119.047607
76572.148438	116.279068
76580.750000	114.942528
76589.453125	112.994347
76598.304688	109.890106
76607.398438	108.108109
76616.648438	104.712036
76626.203125	101.010094
76636.101563	95.693779
76646.554688	87.719292
76657.953125	64.724922
76673.398438	55.555557
