X	Y
73749.304688	76.335876
73762.398438	81.300812
73774.703125	81.967216
73786.898438	80.971657
73799.250000	80.645157
73811.648438	80.645157
73824.054688	80.321289
73836.500000	80.321289
73848.953125	79.681274
73861.500000	79.681274
73874.054688	79.051376
73886.703125	79.051376
73899.351563	78.431374
73912.101563	78.431374
73924.851563	78.125000
73937.648438	77.519379
73950.554688	77.220078
73963.500000	76.923080
73976.500000	76.628349
73989.554688	76.045624
74002.703125	75.757576
74015.898438	75.471695
74029.148438	74.906364
74042.500000	74.349442
74055.953125	74.074074
74069.453125	73.529411
74083.054688	72.727272
74096.804688	72.463768
74110.601563	71.942444
74124.500000	70.921982
74138.601563	70.671371
74152.750000	69.444443
74167.148438	68.965515
74181.648438	68.027214
74196.351563	67.114090
74211.250000	65.789474
74226.453125	64.935066
74241.851563	63.492062
74257.601563	61.919506
74273.750000	117.647057
74282.250000	115.606926
74290.898438	88.888885
74302.148438	33.222591
74332.250000	1.816695
74882.703125	74.074074
74896.203125	82.304520
74908.351563	82.304520
74920.500000	80.971657
74932.851563	80.645157
74945.250000	80.645157
74957.648438	80.321289
74970.101563	80.321289
74982.554688	80.000000
74995.054688	79.681274
75007.601563	79.051376
75020.250000	79.051376
75032.898438	78.740158
75045.601563	78.431374
75058.351563	77.821007
75071.203125	77.821007
75084.054688	77.220078
75097.000000	77.220078
75109.953125	76.628349
75123.000000	76.045624
75136.148438	76.045624
75149.304688	75.471695
75162.554688	74.906364
75175.898438	74.626862
75189.304688	74.074074
75202.804688	73.529411
75216.398438	72.992699
75230.101563	72.463768
75243.898438	72.202164
75257.750000	71.174377
75271.804688	70.671371
75285.953125	69.930069
75300.250000	68.965515
75314.750000	68.259384
75329.398438	67.114090
75344.304688	66.225166
75359.398438	64.935066
75374.804688	63.897762
75390.453125	62.111801
75406.554688	117.647057
75415.054688	116.959061
75423.601563	90.909088
75434.601563	54.794521
75452.851563	116.279068
75461.453125	100.502518
75471.398438	1.740644
76045.898438	119.760475
76054.250000	78.740158
76066.953125	73.529411
76080.554688	72.992699
76094.250000	72.463768
76108.054688	71.942444
76121.953125	71.428574
76135.953125	70.671371
76150.101563	70.175438
76164.351563	121.212120
76172.601563	74.349442
76186.054688	121.951225
76194.250000	72.727272
76208.000000	122.699379
76216.148438	70.671371
76230.304688	122.699379
76238.453125	127.388535
76246.304688	125.000000
76254.304688	70.422539
76268.500000	121.212120
76276.750000	125.786156
76284.703125	127.388535
76292.554688	126.582275
76300.453125	125.000000
76308.453125	124.223602
76316.500000	123.456787
76324.601563	121.212120
76332.851563	119.760475
76341.203125	119.047607
76349.601563	117.647057
76358.101563	116.279068
76366.703125	114.942528
76375.398438	112.359543
76384.304688	111.111115
76393.304688	108.108109
76402.554688	106.951866
76411.898438	103.092789
76421.601563	63.694267
76437.304688	96.153839
76447.703125	88.495575
76459.000000	61.919506
76475.148438	116.959061
76483.703125	110.497238
76492.750000	69.686409
76507.101563	119.760475
76515.453125	100.502518
