Simulation number,gV2b decrease (%),time,[Ca2+] (% baseline)
2,0,0,100
2,0,10,100.2
2,0,20,100.2
2,0,30,100.3
2,0,40,100.4
2,0,50,100.3
2,0,60,100.3
2,0,70,100.3
2,0,80,100.3
2,0,90,100.4
2,0,100,100.4
10,0,0,100
10,0,10,100.1
10,0,20,100
10,0,30,100
10,0,40,99.9
10,0,50,99.9
10,0,60,99.8
10,0,70,99.8
10,0,80,99.7
10,0,90,99.7
10,0,100,99.6
4,0,0,100.7
4,0,10,100.1
4,0,20,100.2
4,0,30,100.3
4,0,40,100.3
4,0,50,100.4
4,0,60,100.4
4,0,70,100.5
4,0,80,100.5
4,0,90,100.5
4,0,100,100.6
5,0,0,100
5,0,10,100.2
5,0,20,100.2
5,0,30,100.3
5,0,40,100.4
5,0,50,100.5
5,0,60,100.6
5,0,70,100.6
5,0,80,100.6
5,0,90,100.7
5,0,100,100.7
6,0,0,100
6,0,10,100.2
6,0,20,100.3
6,0,30,100.3
6,0,40,100.4
6,0,50,100.4
6,0,60,100.4
6,0,70,100.5
6,0,80,100.5
6,0,90,100.6
6,0,100,100.6
1,22,0,100
1,22,10,100.2
1,22,20,100.3
1,22,30,100.4
1,22,40,100.4
1,22,50,100.6
1,22,60,100.6
1,22,70,100.7
1,22,80,100.7
1,22,90,100.7
1,22,100,100.8
2,22,0,100
2,22,10,100.1
2,22,20,100.1
2,22,30,100.2
2,22,40,100.1
2,22,50,100.1
2,22,60,100.2
2,22,70,100.2
2,22,80,100.2
2,22,90,100.2
2,22,100,100.2
3,22,0,100
3,22,10,100.1
3,22,20,100.2
3,22,30,100.2
3,22,40,100.3
3,22,50,100.2
3,22,60,100.3
3,22,70,100.3
3,22,80,100.3
3,22,90,100.4
3,22,100,100.4
4,22,0,100
4,22,10,100.2
4,22,20,100.3
4,22,30,100.4
4,22,40,100.4
4,22,50,100.6
4,22,60,100.6
4,22,70,100.7
4,22,80,100.7
4,22,90,100.8
4,22,100,100.8
5,22,0,100
5,22,10,100.1
5,22,20,100.3
5,22,30,100.4
5,22,40,100.4
5,22,50,100.5
5,22,60,100.5
5,22,70,100.6
5,22,80,100.7
5,22,90,100.7
5,22,100,100.8
1,44,0,100
1,44,10,100.2
1,44,20,100.3
1,44,30,100.4
1,44,40,100.5
1,44,50,100.5
1,44,60,100.6
1,44,70,100.7
1,44,80,100.7
1,44,90,100.7
1,44,100,100.8
2,44,0,100
2,44,10,100.1
2,44,20,100.3
2,44,30,100.3
2,44,40,100.4
2,44,50,100.5
2,44,60,100.6
2,44,70,100.7
2,44,80,100.7
2,44,90,100.8
2,44,100,100.7
3,44,0,100
3,44,10,100.2
3,44,20,100.3
3,44,30,100.3
3,44,40,100.4
3,44,50,100.4
3,44,60,100.5
3,44,70,100.6
3,44,80,100.6
3,44,90,100.7
3,44,100,100.8
4,44,0,100
4,44,10,100.2
4,44,20,100.3
4,44,30,100.4
4,44,40,100.5
4,44,50,100.7
4,44,60,100.8
4,44,70,100.8
4,44,80,100.9
4,44,90,100.9
4,44,100,101
5,44,0,100
5,44,10,100.2
5,44,20,100.3
5,44,30,100.4
5,44,40,100.5
5,44,50,100.5
5,44,60,100.6
5,44,70,100.7
5,44,80,100.8
5,44,90,100.9
5,44,100,100.9
1,67,0,100
1,67,10,100.1
1,67,20,100.2
1,67,30,100.2
1,67,40,100.3
1,67,50,100.4
1,67,60,100.4
1,67,70,100.5
1,67,80,100.5
1,67,90,100.6
1,67,100,100.6
2,67,0,100
2,67,10,100.2
2,67,20,100.3
2,67,30,100.3
2,67,40,100.5
2,67,50,100.6
2,67,60,100.6
2,67,70,100.7
2,67,80,100.8
2,67,90,100.8
2,67,100,100.9
3,67,0,100
3,67,10,100.2
3,67,20,100.3
3,67,30,100.3
